Folder,Count,Vendi (clip-L-14-padding),Dissimilarity (clip-L-14-padding),Std (clip-L-14-padding),Vendi (clip-L-14-crop),Dissimilarity (clip-L-14-crop),Std (clip-L-14-crop),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize),Vendi (dinov2-l-fb-crop),Dissimilarity (dinov2-l-fb-crop),Std (dinov2-l-fb-crop),Vendi (dinov2-l-fb-padding),Dissimilarity (dinov2-l-fb-padding),Std (dinov2-l-fb-padding),Vendi (vgg19-gram-resize),Dissimilarity (vgg19-gram-resize),Std (vgg19-gram-resize)
n02002556,1300,5.947592258453369,0.2723689079284668,11.195083618164062,5.620718002319336,0.2614107728004455,11.119333267211914,2.591094255447388,0.1384238004684448,6.469521999359131,5.899845123291016,0.2705829739570617,11.319622039794922,6.063719272613525,0.2987473011016845,25.49424362182617,5.68785285949707,0.2889493107795715,25.075597763061523,6.341827869415283,0.3053246140480041,25.83679580688477,,,
n02002556,100,4.47221040725708,0.2528427243232727,10.84366226196289,4.566205024719238,0.2574729919433594,11.112821578979492,2.075047731399536,0.1117408275604248,5.629390239715576,4.593517780303955,0.2611583471298218,11.17213535308838,4.769651412963867,0.284317135810852,25.04726791381836,4.93735408782959,0.3170203566551208,26.385269165039062,4.641594409942627,0.3023697733879089,25.83111953735352,3.628709554672241,0.21525675058364868,15.139850616455078
n02002556,500,5.677269458770752,0.2707387804985046,11.181265830993652,5.5213541984558105,0.2651307582855224,11.206363677978516,2.5518150329589844,0.138150155544281,6.505908966064453,5.996236801147461,0.2794268727302551,11.49009895324707,5.934453010559082,0.3077537417411804,25.8981990814209,5.103329181671143,0.2714676260948181,24.32178497314453,6.488022804260254,0.3297151923179626,26.85661506652832,4.51671028137207,0.23649871349334717,14.92746639251709
n02002556,1000,5.917025566101074,0.2727199792861938,11.203810691833496,5.611905097961426,0.262161374092102,11.132413864135742,2.488013744354248,0.1310895085334777,6.120153427124023,5.907983303070068,0.272211492061615,11.35171604156494,6.022834300994873,0.3010856509208679,25.59453773498535,5.7905802726745605,0.2940258383750915,25.298555374145508,6.168433666229248,0.3022732734680176,25.711923599243164,4.663487434387207,0.2365339994430542,15.144806861877441
n02006656,1300,5.931708812713623,0.272077202796936,11.084904670715332,5.602840900421143,0.2629045248031616,11.071000099182127,2.1253435611724854,0.1071568131446838,5.347081661224365,5.827285289764404,0.2699064612388611,11.219688415527344,4.817873954772949,0.2361265420913696,22.491851806640625,4.498190879821777,0.2240150570869445,21.91502571105957,5.123676776885986,0.2456061840057373,23.002376556396484,,,
n02006656,100,4.684461116790772,0.2629451155662536,10.943504333496094,4.64180850982666,0.2613184452056885,11.098734855651855,2.0429887771606445,0.1183580160140991,5.383188247680664,4.481260299682617,0.2557951807975769,10.993650436401367,3.847692489624024,0.2354121804237365,22.53685569763184,3.5671114921569824,0.2203964591026306,21.83964157104492,3.81801986694336,0.2341570258140564,22.548917770385746,4.007602214813232,0.23458588123321533,14.666573524475098
n02006656,500,5.662245750427246,0.2714980244636535,11.09301471710205,5.445060253143311,0.2647193074226379,11.111037254333496,2.066524028778076,0.1058470010757446,5.304795742034912,5.769367218017578,0.2738814353942871,11.313862800598145,4.680879592895508,0.2393975853919983,22.65621566772461,4.222397804260254,0.2207407355308532,21.76778984069824,4.869339942932129,0.2446662783622741,22.985986709594727,4.786426544189453,0.2416871190071106,14.747838973999023
n02006656,1000,5.825919628143311,0.2697742581367492,11.037823677062988,5.637290000915527,0.2651296257972717,11.116827964782717,2.0744848251342773,0.1036484241485595,5.209447383880615,5.762063503265381,0.2691026329994201,11.21076774597168,4.767239570617676,0.2366138100624084,22.51067543029785,4.476686954498291,0.2257494926452636,21.997976303100582,5.09860897064209,0.2468714118003845,23.06333541870117,4.975872039794922,0.2428034543991089,15.062492370605469
n01632777,1300,5.640830993652344,0.2530137300491333,11.042503356933594,5.561071395874023,0.249345064163208,11.220685958862305,2.049102783203125,0.1082893013954162,5.67860221862793,5.3842597007751465,0.2443746924400329,11.148015975952148,3.7934088706970215,0.211014449596405,21.618242263793945,3.678292751312256,0.2050685882568359,21.3293571472168,3.709614992141724,0.2075604200363159,21.48743057250977,,,
n01632777,100,4.4436774253845215,0.2447344660758972,10.921796798706056,4.804167747497559,0.2607567310333252,11.46840476989746,2.290621280670166,0.1482812762260437,7.052278518676758,4.043494701385498,0.2261996269226074,10.828903198242188,3.998005390167236,0.2731414437294006,24.701152801513672,2.764219284057617,0.1752263903617859,19.80034446716309,3.088817358016968,0.2045513987541198,21.441312789916992,4.204060077667236,0.23827636241912842,10.27807903289795
n01632777,500,5.44105863571167,0.2535309195518493,11.050933837890623,5.385911464691162,0.251501202583313,11.282983779907228,2.09670639038086,0.1172903776168823,6.001619338989258,5.092923164367676,0.2419989109039306,11.114225387573242,3.565220594406128,0.2037816047668457,21.260507583618164,3.484338998794556,0.2017436027526855,21.18503189086914,3.571917533874512,0.2089812755584716,21.589582443237305,5.102734088897705,0.24442273378372192,11.798320770263672
n01632777,1000,5.667195796966553,0.2551289796829223,11.090682983398438,5.398322582244873,0.2459064722061157,11.15043830871582,2.0571558475494385,0.1107364296913147,5.750443458557129,5.462887763977051,0.2480614185333252,11.22771453857422,3.818981647491455,0.2139637470245361,21.76806640625,3.700110673904419,0.2089512944221496,21.52984046936035,3.70125150680542,0.209563136100769,21.5820369720459,5.240780353546143,0.24265635013580322,11.53860855102539
n01751748,1300,6.913830280303955,0.2956033945083618,11.674968719482422,7.141396045684815,0.2990444898605346,12.004439353942873,4.021531105041504,0.2213395237922668,9.507654190063477,6.976480484008789,0.2960901260375976,11.915724754333496,12.302099227905272,0.4903934597969055,32.80103302001953,12.03189754486084,0.4882792830467224,32.75977325439453,13.356815338134766,0.5023819804191589,33.24177932739258,,,
n01751748,100,5.24985933303833,0.2876208424568176,11.541448593139648,4.851070880889893,0.2680338025093078,11.491482734680176,3.112318992614746,0.1995930671691894,8.770430564880371,4.815170764923096,0.269209086894989,11.47107219696045,8.021698951721191,0.4958953261375427,33.11775588989258,8.789815902709961,0.537522554397583,34.53507995605469,7.018952369689941,0.4269101023674011,30.78674697875977,6.622330665588379,0.35798966884613037,14.343680381774902
n01751748,500,6.759450435638428,0.3002107143402099,11.783003807067873,6.6535468101501465,0.29372638463974,11.92101764678955,3.689541101455689,0.2106934189796447,9.122698783874512,6.854551315307617,0.3001441359519958,11.986830711364746,11.953296661376951,0.5056198835372925,33.31470489501953,10.471738815307615,0.4794073104858398,32.47859191894531,11.652626037597656,0.4956696629524231,33.04037857055664,8.133522033691406,0.3585597276687622,16.080591201782227
n01751748,1000,6.773335933685303,0.2933791279792785,11.641741752624512,7.028552055358887,0.2979686260223388,11.989486694335938,3.990325450897217,0.2211516499519348,9.51344108581543,6.922876358032227,0.2967942357063293,11.931212425231934,12.346885681152344,0.4922583699226379,32.86220169067383,11.675569534301758,0.4865210652351379,32.69791030883789,12.537796020507812,0.494461178779602,32.98250961303711,8.669817924499512,0.3605782389640808,15.713008880615234
n01985128,1300,9.819588661193848,0.3555513024330139,13.086947441101074,9.057660102844238,0.3406538367271423,12.985840797424316,7.060575008392334,0.2951813340187073,10.837238311767578,9.190796852111816,0.3444902896881103,13.100218772888184,18.489110946655277,0.5665276050567627,35.24613952636719,17.326007843017578,0.5575912594795227,34.9877815246582,19.48882484436035,0.570733904838562,35.43950653076172,,,
n01985128,100,7.07930326461792,0.3514490127563476,13.107407569885254,7.107493877410889,0.3472466468811035,13.11642837524414,5.548133373260498,0.302420437335968,11.06198787689209,6.608646869659424,0.3328049182891845,12.985694885253906,10.176753044128418,0.5284157395362854,34.23305892944336,10.673428535461426,0.5187540054321289,33.938316345214844,12.388757705688477,0.5914722681045532,36.19718933105469,4.597069263458252,0.2679271697998047,26.47482681274414
n01985128,500,9.05960464477539,0.3515446186065674,13.019384384155272,8.79890251159668,0.3464275002479553,13.068364143371582,6.643484592437744,0.2936182022094726,10.961612701416016,8.636241912841797,0.3429411053657532,13.069209098815918,16.962623596191406,0.5741840600967407,35.50871658325195,14.915472030639648,0.549832284450531,34.77008056640625,17.77411651611328,0.5839295387268066,35.89090347290039,5.793169021606445,0.28348785638809204,25.111366271972656
n01985128,1000,9.839072227478027,0.3569622635841369,13.116976737976074,9.119725227355955,0.3436918258666992,13.033823013305664,7.096782207489014,0.2978110313415527,10.90627098083496,8.9313325881958,0.3414783477783203,13.049187660217283,17.910850524902344,0.5630811452865601,35.14854049682617,16.989059448242188,0.558902382850647,35.02280044555664,18.954694747924805,0.5682111382484436,35.36595153808594,6.077981948852539,0.2854187488555908,25.462726593017578
