Folder,Count,Vendi (convnextv2-l),Dissimilarity (convnextv2-l),Std (convnextv2-l),Vendi (dinov2-l-fb),Dissimilarity (dinov2-l-fb),Std (dinov2-l-fb),Vendi (clip-L-14),Dissimilarity (clip-L-14),Std (clip-L-14),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize)
New_Realism/edward-hopper,117,27.77754783630371,0.7238713502883911,23.095335006713867,47.17446899414063,0.8078045845031738,40.76247787475586,11.659282684326172,0.4437581300735473,13.74709701538086,25.8563289642334,0.7103869915008545,22.661483764648438,46.22555923461914,0.8016045689582825,40.54425811767578,11.645025253295898,0.44412297010421753,13.6875
New_Realism/edward-hopper,100,25.34223747253418,0.7167702913284302,23.171369552612305,43.12031555175781,0.8054293394088745,40.703895568847656,11.466188430786133,0.4484145641326904,13.841276168823242,24.32235336303711,0.7068561315536499,22.58638572692871,42.017940521240234,0.7987087965011597,40.498050689697266,10.949646949768066,0.4415637254714966,13.6640625
New_Realism/john-french-sloan,102,25.78044319152832,0.7193320989608765,22.779787063598636,37.14214324951172,0.7605205774307251,39.67897033691406,13.299588203430176,0.4781296849250793,14.169422149658203,25.335996627807617,0.7140681743621826,22.495512008666992,36.42890930175781,0.7565525770187378,39.54621887207031,14.048530578613281,0.48795896768569946,14.1875
New_Realism/john-french-sloan,100,25.308120727539062,0.7177267074584961,22.76875305175781,36.69549560546875,0.7619256973266602,39.73535919189453,13.302464485168455,0.4798611402511596,14.19604206085205,25.414295196533203,0.7166787981987,22.507692337036133,35.88431930541992,0.7558251023292542,39.52661895751953,14.026013374328613,0.48815101385116577,14.1953125
New_Realism,314,40.76792907714844,0.7391437292098999,23.575925827026367,75.01001739501953,0.793127715587616,40.285736083984375,18.5544548034668,0.4891810417175293,14.32272243499756,39.102291107177734,0.7295933961868286,23.20965576171875,73.90074920654297,0.7900683879852295,40.17039489746094,19.77992057800293,0.5011205077171326,14.3984375
New_Realism,100,27.821338653564453,0.7243489623069763,23.61582374572754,45.02767181396485,0.8017482757568359,40.696327209472656,13.088927268981934,0.4793419241905212,14.189486503601074,25.0032901763916,0.7086628675460815,23.44750213623047,42.94483184814453,0.7861634492874146,40.17176818847656,14.450047492980957,0.4945504665374756,14.390625
Contemporary_Realism/neil-welliver,67,17.281492233276367,0.6367716789245605,22.71310043334961,27.443988800048828,0.7618001103401184,40.14745330810547,7.7586846351623535,0.3953614234924316,13.065378189086914,17.02766990661621,0.6343539357185364,22.635929107666016,27.045724868774414,0.75743168592453,39.97384262084961,7.959575176239014,0.40051519870758057,13.1328125
Contemporary_Realism/eric-fischl,74,24.769264221191406,0.7191430926322937,23.694292068481445,27.99077796936035,0.7155688405036926,37.8431282043457,8.162336349487305,0.3805771470069885,12.583247184753418,24.668228149414062,0.7267664670944214,24.06269645690918,26.755964279174805,0.7052521705627441,37.347660064697266,7.962289333343506,0.3755360245704651,12.578125
Contemporary_Realism/john-miller,77,9.50515365600586,0.5141527056694031,20.828067779541016,18.517751693725582,0.6551303863525391,36.33399963378906,6.13834810256958,0.3386173248291015,12.446295738220217,10.136218070983887,0.5429887771606445,21.940153121948242,17.994930267333984,0.6405138969421387,35.984439849853516,6.3673930168151855,0.3464817404747009,12.5859375
Contemporary_Realism/jamie-wyeth,106,36.472412109375,0.7848265171051025,23.686906814575195,60.8265266418457,0.8730388879776001,42.5656852722168,13.732526779174805,0.4746764302253723,14.25169849395752,37.26579666137695,0.7895392775535583,23.520206451416016,61.16927719116211,0.8710227012634277,42.42826843261719,13.616689682006836,0.47196823358535767,14.1796875
Contemporary_Realism/jamie-wyeth,100,35.41822052001953,0.7838133573532104,23.707143783569336,58.059349060058594,0.873031735420227,42.56598663330078,13.57958698272705,0.4758710265159607,14.272456169128418,35.72208786010742,0.7867220640182495,23.319650650024414,58.59012222290039,0.8698742389678955,42.4264030456543,13.427922248840332,0.4726409912109375,14.1953125
Contemporary_Realism,481,69.50997924804688,0.8347856998443604,25.216426849365234,142.85330200195312,0.8795966506004333,42.24927520751953,24.236297607421875,0.5334304571151733,15.094278335571287,70.17845916748047,0.8320271968841553,25.174551010131836,138.90196228027344,0.873694896697998,42.01980972290039,24.80465316772461,0.5402438044548035,inf
Contemporary_Realism,100,37.3857536315918,0.8225741386413574,25.134151458740234,52.84934997558594,0.8540650606155396,41.89092254638672,15.92047119140625,0.5300121307373047,15.147851943969728,41.03373718261719,0.8290910124778748,25.126405715942383,55.78852844238281,0.863530158996582,41.9072265625,17.283428192138672,0.5452680587768555,15.3125
