Folder,Count,Vendi (convnextv2-l-crop),Dissimilarity (convnextv2-l-crop),Std (convnextv2-l-crop),Vendi (dinov2-l-fb-crop),Dissimilarity (dinov2-l-fb-crop),Std (dinov2-l-fb-crop),Vendi (clip-L-14-crop),Dissimilarity (clip-L-14-crop),Std (clip-L-14-crop),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize),Vendi (vgg19-gram-resize),Dissimilarity (vgg19-gram-resize),Std (vgg19-gram-resize),Vendi (convnextv2-l-padding),Dissimilarity (convnextv2-l-padding),Std (convnextv2-l-padding)
New_Realism/edward-hopper,117,27.77754783630371,0.7238713502883911,23.095335006713867,47.174468994140625,0.8078045845031738,40.76247787475586,11.659282684326172,0.44375813007354736,13.74709701538086,25.8563289642334,0.7103869915008545,22.66148376464844,46.22555923461914,0.8016045689582825,40.54425811767578,11.645025253295898,0.4441229701042175,13.687040328979492,4.339081287384033,0.2551993131637573,13.965112686157228,24.982437133789062,0.6932613253593445,22.81906509399414
New_Realism/edward-hopper,100,26.54169464111328,0.730516254901886,22.887371063232422,42.758724212646484,0.8010502457618713,40.56410598754883,10.78519058227539,0.4356589913368225,13.631274223327637,24.35720443725586,0.7075189352035522,22.71250343322754,42.37815475463867,0.7995384335517883,40.47259140014648,11.329269409179688,0.4487571716308594,13.760137557983398,4.302121639251709,0.2573407888412475,14.201412200927734,24.329532623291016,0.6968996524810791,22.965749740600586
New_Realism/john-french-sloan,102,25.78044319152832,0.7193320989608765,22.779787063598633,37.14214324951172,0.7605205774307251,39.67897033691406,13.299588203430176,0.47812968492507935,14.169422149658203,25.335996627807617,0.7140681743621826,22.495512008666992,36.42890930175781,0.7565525770187378,39.54621887207031,14.04853057861328,0.4879589676856994,14.189189910888672,4.453098773956299,0.268446683883667,14.70968246459961,24.58101463317871,0.6956117153167725,22.456178665161133
New_Realism/john-french-sloan,100,25.564916610717773,0.7192670106887817,22.78343391418457,37.39728927612305,0.7612201571464539,39.690608978271484,13.098673820495605,0.4762200117111206,14.146219253540039,25.263595581054688,0.7139075398445129,22.540382385253903,35.99714660644531,0.7570580244064331,39.57011795043945,14.056565284729004,0.4889182448387146,14.208354949951172,4.424468517303467,0.2670844793319702,14.695510864257812,24.395841598510742,0.6939980983734131,22.448171615600586
New_Realism,314,40.76792907714844,0.7391437292098999,23.575925827026367,75.01001739501953,0.793127715587616,40.285736083984375,18.554454803466797,0.4891810417175293,14.322722434997559,39.10229110717773,0.7295933961868286,23.20965576171875,73.90074920654297,0.7900683879852295,40.17039489746094,19.77992057800293,0.5011205077171326,14.400035858154297,5.449192047119141,0.2843669652938843,14.665081977844238,37.802330017089844,0.71088045835495,23.142982482910156
New_Realism,100,29.028331756591797,0.7440094351768494,23.60288429260254,43.046688079833984,0.7965912222862244,40.586605072021484,13.720754623413086,0.48218876123428345,14.247442245483398,28.66373634338379,0.724339485168457,23.040451049804688,40.96582794189453,0.7676050662994385,39.66385269165039,13.918286323547363,0.4924787878990173,14.351452827453612,4.952948570251465,0.2876229882240295,14.588722229003906,26.810684204101562,0.7043626308441162,22.977800369262695
Contemporary_Realism/neil-welliver,67,17.281492233276367,0.6367716789245605,22.71310043334961,27.443988800048828,0.7618001103401184,40.14745330810547,7.7586846351623535,0.39536142349243164,13.065378189086914,17.02766990661621,0.6343539357185364,22.635929107666016,27.04572486877441,0.75743168592453,39.97384262084961,7.959575176239014,0.4005151987075805,13.134376525878906,5.318636417388916,0.3223361372947693,12.120315551757812,16.34244728088379,0.6245673894882202,22.643796920776367
Contemporary_Realism/eric-fischl,74,24.769264221191406,0.7191430926322937,23.694292068481445,27.99077796936035,0.7155688405036926,37.8431282043457,8.162336349487305,0.3805771470069885,12.583247184753418,24.668228149414062,0.7267664670944214,24.06269645690918,26.755964279174805,0.7052521705627441,37.34766006469727,7.962289333343506,0.3755360245704651,12.576191902160645,2.943466901779175,0.1788356304168701,19.5050106048584,25.063053131103516,0.7261718511581421,24.350173950195312
Contemporary_Realism/john-miller,77,9.50515365600586,0.5141527056694031,20.828067779541016,18.517751693725586,0.6551303863525391,36.33399963378906,6.13834810256958,0.33861732482910156,12.446295738220215,10.136218070983888,0.5429887771606445,21.94015312194824,17.994930267333984,0.6405138969421387,35.98443984985352,6.3673930168151855,0.3464817404747009,12.582783699035645,6.04469633102417,0.3515588641166687,5.404351711273193,9.276981353759766,0.5027246475219727,20.981386184692383
Contemporary_Realism/jamie-wyeth,106,36.472412109375,0.7848265171051025,23.686906814575195,60.8265266418457,0.8730388879776001,42.5656852722168,13.732526779174805,0.4746764302253723,14.25169849395752,37.26579666137695,0.7895392775535583,23.520206451416016,61.16927719116211,0.8710227012634277,42.42826843261719,13.616689682006836,0.4719682335853576,14.18503761291504,5.639406681060791,0.3012616634368896,11.34182834625244,36.24066162109375,0.7757319211959839,23.575010299682617
Contemporary_Realism/jamie-wyeth,100,35.2988166809082,0.7850505113601685,23.614044189453125,59.12942123413086,0.8754725456237793,42.66501998901367,13.60389518737793,0.47602081298828125,14.249682426452637,35.56154251098633,0.7868075370788574,23.358741760253903,59.02927017211914,0.8721409440040588,42.50199890136719,13.406259536743164,0.4724352359771728,14.187612533569336,5.661445140838623,0.3037816286087036,11.394381523132324,35.46489715576172,0.7753059267997742,23.56734275817871
Contemporary_Realism,481,69.50997924804688,0.8347856998443604,25.216426849365234,142.85330200195312,0.8795966506004333,42.24927520751953,24.236297607421875,0.5334304571151733,15.094278335571289,70.17845916748047,0.8320271968841553,25.17455101013184,138.90196228027344,0.873694896697998,42.01980972290039,24.80465316772461,0.5402438044548035,15.191600799560549,9.407322883605955,0.3910101056098938,17.12645149230957,67.66942596435547,0.8173090219497681,25.186614990234375
Contemporary_Realism,100,39.39146423339844,0.8364471793174744,25.265832901000977,56.65639877319336,0.8658173084259033,42.261253356933594,16.898853302001953,0.5356432199478149,15.221697807312012,40.93636322021485,0.8280307054519653,25.22422981262207,52.15834426879883,0.8509604334831238,41.71613693237305,17.868288040161133,0.5499454140663147,15.378751754760742,7.257720947265625,0.3760131001472473,17.92254066467285,37.98629379272461,0.8092588782310486,25.024410247802734
Cubism/pablo-picasso,203,28.102092742919922,0.6469244360923767,22.93044090270996,31.848968505859375,0.6464248895645142,35.21428298950195,7.4734883308410645,0.32441383600234985,11.87844467163086,27.259374618530277,0.6435704231262207,22.656185150146484,30.61424446105957,0.6349667310714722,34.80558776855469,8.036295890808105,0.3372441530227661,11.997721672058104,4.233456611633301,0.2451640367507934,21.873851776123047,26.199989318847656,0.6261379718780518,22.102718353271484
Cubism/pablo-picasso,100,20.993810653686523,0.6248225569725037,22.537845611572266,22.474342346191406,0.6325222849845886,34.945011138916016,6.860596656799316,0.3293331265449524,12.009918212890625,21.296367645263672,0.6361633539199829,22.318262100219727,20.70310401916504,0.615199089050293,34.32268142700195,7.055405139923096,0.3341603875160217,11.971842765808104,3.952669143676758,0.2424691319465637,21.43959045410156,20.750381469726562,0.6191291213035583,22.005773544311523
Cubism/pyotr-konchalovsky,88,18.699207305908203,0.6932246685028076,23.34976577758789,27.623027801513672,0.7376716136932373,38.80607604980469,7.5492353439331055,0.37372738122940063,12.751728057861328,18.60324478149414,0.6919668316841125,23.14698982238769,27.52874755859375,0.735397219657898,38.69968795776367,7.683835506439209,0.3800287842750549,12.715819358825684,3.7973687648773193,0.264024019241333,15.073936462402344,17.885610580444336,0.6677905321121216,22.892833709716797
Cubism/georges-braque,80,19.328712463378906,0.6240459680557251,23.850587844848633,24.668174743652344,0.6549009084701538,34.99034118652344,6.015320301055908,0.31553757190704346,11.665492057800293,18.648530960083008,0.6219326257705688,23.828399658203125,23.89171028137207,0.6463223695755005,34.556480407714844,6.708961009979248,0.3380082845687866,11.982937812805176,3.3595876693725586,0.2135265469551086,17.214229583740234,19.29690933227539,0.6218241453170776,23.638357162475586
