Folder,Count,Vendi (clip-L-14-padding),Dissimilarity (clip-L-14-padding),Std (clip-L-14-padding),Vendi (clip-L-14-crop),Dissimilarity (clip-L-14-crop),Std (clip-L-14-crop),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize),Vendi (dinov2-l-fb-crop),Dissimilarity (dinov2-l-fb-crop),Std (dinov2-l-fb-crop),Vendi (dinov2-l-fb-padding),Dissimilarity (dinov2-l-fb-padding),Std (dinov2-l-fb-padding),Vendi (vgg19-gram-resize),Dissimilarity (vgg19-gram-resize),Std (vgg19-gram-resize),Vendi (convnextv2-l-padding),Dissimilarity (convnextv2-l-padding),Std (convnextv2-l-padding),Vendi (convnextv2-l-crop),Dissimilarity (convnextv2-l-crop),Std (convnextv2-l-crop)
n01739381,1000,8.07374095916748,0.3156723976135254,11.913880348205566,7.64223051071167,0.3067740797996521,11.910460472106934,4.15670108795166,0.2293528914451599,9.573945045471191,7.430506229400635,0.30216163396835327,11.841286659240723,17.40001106262207,0.5002838373184204,33.10179138183594,15.825222969055176,0.4866849184036255,32.695308685302734,18.248567581176758,0.5061415433883667,33.333438873291016,5.483668804168701,0.2660252451896667,17.17035484313965,4.298039436340332,0.23670661449432373,10.035093307495117,4.322333335876465,0.23742514848709106,9.91584587097168
n01734418,1300,5.968653678894043,0.2686988115310669,11.024479866027832,5.920888423919678,0.26616883277893066,11.131365776062012,4.67036771774292,0.24154657125473022,9.478757858276367,5.865065574645996,0.265730082988739,11.171212196350098,22.181903839111328,0.6168308258056641,36.85095977783203,21.465076446533203,0.6159306764602661,36.83149719238281,23.15231704711914,0.6192524433135986,37.006317138671875,,,,4.796505928039551,0.2431727647781372,10.002692222595215,4.583999156951904,0.23929935693740845,9.494441986083984
n01734418,100,4.726475238800049,0.2620241641998291,10.886043548583984,4.711209297180176,0.25837481021881104,10.968744277954102,4.1266984939575195,0.25195127725601196,9.733101844787598,4.63108491897583,0.25672054290771484,11.032955169677734,16.294252395629883,0.6364142298698425,37.55908203125,14.04671859741211,0.5984973907470703,36.46855545043945,14.597552299499512,0.6190005540847778,37.1832160949707,4.84654426574707,0.2915163040161133,46.10055160522461,3.921825408935547,0.23968786001205444,10.02638053894043,3.777836322784424,0.23535001277923584,9.46766185760498
n01734418,500,5.87176513671875,0.2724912166595459,11.090288162231445,5.752035617828369,0.2666083574295044,11.138389587402344,4.671606063842773,0.24732959270477295,9.676152229309082,5.669067859649658,0.26648885011672974,11.1866455078125,19.5036678314209,0.6094744205474854,36.65361404418945,18.463979721069336,0.608163595199585,36.61855697631836,21.26786231994629,0.6237192153930664,37.15567398071289,5.194705009460449,0.2740684747695923,38.22664260864258,4.746288776397705,0.2499656081199646,10.178383827209473,4.421631336212158,0.23972272872924805,9.515408515930176
n01734418,1000,5.907980442047119,0.26857656240463257,11.023361206054688,5.934675216674805,0.26792818307876587,11.162589073181152,4.72120475769043,0.24622666835784912,9.59225082397461,5.783217906951904,0.2645152807235718,11.147536277770996,21.90343475341797,0.6179840564727783,36.87857437133789,20.761817932128906,0.6111313104629517,36.69731903076172,23.23898696899414,0.6216460466384888,37.0801887512207,5.52009916305542,0.2797279953956604,38.13862609863281,4.736217021942139,0.2418363094329834,9.97765827178955,4.538056373596191,0.23841512203216553,9.476987838745117
n01950731,1300,5.478737831115723,0.25079190731048584,10.668586730957031,5.499802112579346,0.2511599063873291,10.974507331848145,3.2708301544189453,0.1702406406402588,7.298607349395752,5.57578706741333,0.254242479801178,10.9683198928833,7.602427959442139,0.3070436120033264,26.198001861572266,7.276358604431152,0.299141526222229,25.87060546875,8.077441215515137,0.31654924154281616,26.630338668823242,,,,3.5122785568237305,0.18411922454833984,7.803757667541504,3.1824488639831543,0.1654711365699768,7.1961870193481445
n01950731,100,4.969174861907959,0.2709948420524597,11.12829303741455,4.492922782897949,0.2510985732078552,11.034283638000488,2.9285104274749756,0.17022764682769775,7.3309407234191895,4.634739875793457,0.25534915924072266,10.966172218322754,5.022861957550049,0.2791711091995239,25.150827407836914,5.700510501861572,0.3139221668243408,26.580856323242188,5.6153178215026855,0.3029993176460266,26.20231056213379,4.515130043029785,0.2558533549308777,17.71257781982422,2.793043851852417,0.16524749994277954,7.320519924163818,2.7852542400360107,0.16929560899734497,6.992425441741943
n01950731,500,5.325838565826416,0.2511745095252991,10.696005821228027,5.282476902008057,0.2502879500389099,10.955946922302246,3.0755598545074463,0.164279043674469,7.017042636871338,5.419252872467041,0.25665950775146484,11.028124809265137,7.0748186111450195,0.3071470260620117,26.217182159423828,6.539489269256592,0.29094982147216797,25.532262802124023,7.797843933105469,0.3265550136566162,27.058469772338867,5.942041397094727,0.2785732746124267,16.91151237487793,3.5006468296051025,0.189250648021698,7.9597039222717285,3.0457258224487305,0.1632850170135498,7.157314300537109
n01950731,1000,5.451138019561768,0.2514979839324951,10.684741020202637,5.427633285522461,0.2505011558532715,10.967157363891602,3.1463820934295654,0.16441470384597778,7.118910312652588,5.579986572265625,0.25560373067855835,10.9963960647583,7.5771613121032715,0.310371994972229,26.34804916381836,7.306830883026123,0.30261045694351196,26.02097511291504,8.08906364440918,0.3203992247581482,26.78435707092285,6.069415092468262,0.2759196162223816,16.45056915283203,3.508230209350586,0.18471866846084595,7.806017875671387,3.1259753704071045,0.1628175973892212,7.091515064239502
n01829413,1300,6.397294998168945,0.2825317978858948,11.33141803741455,6.110020637512207,0.2746230363845825,11.349199295043945,1.7022138833999634,0.06886225938796997,4.307125568389893,6.184751510620117,0.27723389863967896,11.425507545471191,7.688845157623291,0.3509191870689392,27.52034568786621,7.241745471954346,0.34121978282928467,27.14409637451172,8.08656120300293,0.3598290681838989,27.933807373046875,,,,1.7690229415893555,0.07734936475753784,4.842686176300049,1.6215238571166992,0.06134909391403198,3.995743989944458
