Folder,Count,Vendi (vgg19-gram-resize),Dissimilarity (vgg19-gram-resize),Std (vgg19-gram-resize),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (clip-L-14-padding),Dissimilarity (clip-L-14-padding),Std (clip-L-14-padding),Vendi (dinov2-l-fb-padding),Dissimilarity (dinov2-l-fb-padding),Std (dinov2-l-fb-padding),Vendi (clip-L-14-crop),Dissimilarity (clip-L-14-crop),Std (clip-L-14-crop),Vendi (dinov2-l-fb-crop),Dissimilarity (dinov2-l-fb-crop),Std (dinov2-l-fb-crop),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize)
232_hong_meiling,1000,3.11942458152771,0.1610018610954284,18.252094268798828,12.463258743286133,0.42873746156692505,17.23883819580078,8.22748851776123,0.314782977104187,11.237796783447266,16.399126052856445,0.44537854194641113,29.795557022094727,6.9050703048706055,0.2836683392524719,10.835137367248535,17.57502555847168,0.4570278525352478,30.195751190185547,8.373931884765625,0.317410945892334,11.317034721374512,17.779754638671875,0.45877617597579956,30.126585006713867
232_hong_meiling,100,2.688497304916382,0.1547017693519592,19.186155319213867,8.49943733215332,0.401936411857605,16.49735450744629,6.49968957901001,0.3183157444000244,11.360029220581055,10.956133842468262,0.44019991159439087,29.75050163269043,5.463398456573486,0.28285062313079834,10.824440002441406,10.618167877197266,0.43983572721481323,29.65695571899414,6.803849697113037,0.32633692026138306,11.535690307617188,12.59625244140625,0.47877538204193115,30.908851623535156
232_hong_meiling,500,3.05627703666687,0.161307156085968,18.590669631958008,11.41572380065918,0.4197089672088623,17.01520347595215,7.849213600158691,0.3141160011291504,11.231457710266113,15.432247161865234,0.4493238925933838,29.93992042541504,6.550540924072266,0.28090202808380127,10.795231819152832,16.858928680419922,0.4675060510635376,30.558744430541992,7.9155659675598145,0.3145101070404053,11.266535758972168,16.408172607421875,0.4601083993911743,30.164466857910156
1919_futatsuiwa_mamizou,203,2.8466763496398926,0.1566540598869323,16.889122009277344,13.921439170837402,0.4726347327232361,18.78099250793457,6.7286787033081055,0.2969011664390564,10.932140350341797,19.284072875976562,0.5167040824890137,31.545141220092773,5.727463245391846,0.26770949363708496,10.60529613494873,22.15836524963379,0.5448712110519409,32.462440490722656,6.84294319152832,0.2998430132865906,11.030014991760254,21.43399429321289,0.5376522541046143,32.09967803955078
1919_futatsuiwa_mamizou,100,2.759780168533325,0.1594700217247009,16.99498176574707,11.49983024597168,0.46391528844833374,18.62177276611328,5.705310821533203,0.28495675325393677,10.684552192687988,15.648099899291992,0.5206176042556763,31.795318603515625,5.337063789367676,0.27335160970687866,10.761754989624023,18.41293716430664,0.5512550473213196,32.693363189697266,6.48737096786499,0.31201666593551636,11.243027687072754,16.02533531188965,0.5243467092514038,31.78987693786621
944_aki_shizuha,203,3.584932565689087,0.2029189467430114,17.167850494384766,11.789115905761719,0.45708388090133667,18.584402084350586,6.341992378234863,0.2914416790008545,11.059181213378906,15.1008939743042,0.4759007692337036,30.447673797607422,5.510273456573486,0.2665882110595703,10.765097618103027,16.76674461364746,0.497434139251709,31.06817054748535,6.4361114501953125,0.2949734926223755,11.155804634094238,15.915689468383789,0.4890012741088867,30.66740608215332
944_aki_shizuha,100,3.328290700912476,0.1982191801071167,16.093496322631836,10.248997688293457,0.4545828700065613,18.747907638549805,5.636733531951904,0.29089754819869995,11.090139389038086,12.329501152038574,0.4718745946884155,30.36394691467285,5.470267295837402,0.2863253355026245,11.168949127197266,13.231459617614746,0.4821951985359192,30.663557052612305,5.568186283111572,0.2836616635322571,10.971761703491211,12.916009902954102,0.48173147439956665,30.449169158935547
994_shirai_kuroko,180,2.7669506072998047,0.1519123911857605,15.05295467376709,9.623468399047852,0.41146618127822876,17.32253074645996,5.505408763885498,0.2699204683303833,10.516253471374512,11.23028564453125,0.42640745639801025,29.175537109375,4.784585475921631,0.24312669038772583,10.216845512390137,13.100141525268555,0.4565730094909668,30.163923263549805,5.710035800933838,0.27642005681991577,10.70197582244873,12.545005798339844,0.45039916038513184,29.8677921295166
994_shirai_kuroko,100,2.615952014923096,0.1489791274070739,14.367753028869627,8.437138557434082,0.40629178285598755,17.338930130004883,5.358781337738037,0.278672456741333,10.713805198669434,9.634225845336914,0.42347031831741333,29.151676177978516,4.641589164733887,0.25132912397384644,10.382218360900879,10.540664672851562,0.44263768196105957,29.78801727294922,5.136898994445801,0.2720596194267273,10.649820327758789,10.405116081237793,0.4449188709259033,29.795795440673828
1700_saratoga_(kantai_collection),192,2.2999823093414307,0.1208927631378173,14.80457878112793,9.248429298400879,0.40970879793167114,17.048412322998047,5.840757369995117,0.2821509838104248,10.646425247192383,10.872570037841797,0.4290950298309326,29.359359741210938,4.9105987548828125,0.24821120500564575,10.210725784301758,12.428789138793945,0.4542008638381958,30.231117248535156,5.90595817565918,0.28396075963974,10.723830223083496,12.327231407165527,0.4541974663734436,30.099748611450195
