Folder,FD (convnextv2-l-resize),FD (dinov2-l-fb-resize),FD (clip-L-14-resize)
ddim-v1-5-pruned-emaonly-exp-1024-sd15-lokr8-full-a,103.47842253211036,392.6862923984404,110.5597525251273
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-a-000010,95.2740707481032,384.5500542146324,108.13968341725166
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-c-000010,80.08164319334992,338.1126556012441,96.31291983374764
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-c-000030,104.09122724509348,432.9861045491434,116.03417047412525
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000030,109.42838239276024,458.5538089552065,122.96716566721012
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-c-000010,86.60769432530265,347.113897560459,98.0906183024025
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-c-000030,117.33344696982384,469.887969439083,123.52986049866178
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b,90.9206073275152,384.04718833225206,102.11286894589216
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b,108.10053852726026,445.9984747193535,117.5789338889532
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-c-000030,121.06938519835784,476.5004105781336,129.9422411135419
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-a-000010,88.47238007138026,375.7081104997933,104.07069904693634
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-c,120.74715065697228,489.74902674852456,129.74672362189978
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b,176.7987426797007,798.2864688461063,167.29867505191004
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-c-000030,113.97225736207054,459.8910116810876,117.53012439573796
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-c,90.13927357407032,388.1108554583434,102.8288017258442
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-a,121.85421553574076,473.5719633321355,127.14310482615002
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-c-000010,99.81888914783552,414.0618971216886,109.81488303365028
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-c-000010,86.03524365234352,354.3488881570497,98.77909991889452
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-c-000010,89.77211069272744,383.68668987315095,99.06078398430977
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-c-000030,118.93303911116573,487.6247345054157,126.45169240215348
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-a-000010,88.51571630248475,359.1300491455031,98.28037245061114
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000030,117.56717954763144,474.328455989084,129.6187687365778
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-c,116.91360402199324,479.0872342512644,123.21077982544853
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-c,159.4400072338526,722.8913462185046,161.36605936698544
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000010,132.70950336604642,585.8228427410531,130.26234220384072
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-a-000030,113.51470902281358,471.140857551301,124.87049939580078
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000030,110.19338838740236,444.3262880376337,120.1504556920658
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b-000010,89.08994795083481,365.5170125733507,103.46005270530998
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-c,109.55186593349868,455.3217825110205,116.81238403689451
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b-000030,85.23841610331374,360.4636879967843,100.42528299626076
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-c-000030,89.77813633367941,374.38531970139456,100.0435106881814
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b,110.33792650108784,464.968981915144,118.5269771963699
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-a-000010,93.14524069358733,383.372510303353,103.5449863829498
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-b,124.64620409493102,517.7696843559211,130.62154686132226
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-c,104.15122463364798,434.0843265454687,114.15670983045658
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-c-000030,115.9828553395198,455.5650401754978,120.32296437506466
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000030,87.80701051835354,378.0528524058077,104.09550591752144
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-a,110.38835398634616,457.16295517623576,118.29336657624168
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-c,127.6624918024014,484.4338285129984,127.15562907563026
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-b-000010,79.43955965336272,334.7691170168132,98.08507677662942
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-a-000030,106.20881445263863,440.89962065670807,119.68137422396244
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-a-000030,91.17139972789164,384.8822770722013,105.67370721126709
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-a,95.58871560174477,402.1365652089935,107.52473318972868
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-a-000030,108.70329251207204,442.11271516455145,119.09760507716118
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010,92.34614181086044,385.1695596102686,101.17190269392768
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-a,124.90612254672784,505.0117778376425,126.99478195613484
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-a-000010,91.46456492082577,365.0051561687569,99.82757330876676
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-a-000010,89.6201479418803,376.1058661456432,106.26242557305147
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-c-000010,105.07492382391388,472.8746253658928,111.44193911865858
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-b-000030,98.05228032838886,400.7474173600053,110.24090156920454
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-c-000030,91.16098197355744,380.6090088742149,100.89959375322292
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-c-000030,91.95957976884722,375.3600848434744,102.51351418298988
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-a,123.43528877633344,497.4610068571915,125.84701324453688
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-a-000030,124.43894293250412,497.3255854837085,131.54957778885898
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b-000010,95.80959572849883,439.2252047681891,106.04123386802628
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-c-000010,96.20187130964972,420.300070188468,102.69089568550044
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-a,166.1262102832843,726.3420082786597,161.6462709520791
