Folder,Style Loss (in),Style Loss (out),Style Loss (trigger)
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b-000030/style/ghibi,2502.58154296875,2124.770263671875,5293.91064453125
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000030/style/felix_vallotton_stroke,1187.213623046875,1972.375244140625,1122.817626953125
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000030/style/ghibi_alter,696.8216552734375,432.88812255859375,296.0563049316406
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000030/style/ukiyo_e,1763.968505859375,1102.0479736328125,880.085693359375
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000030/style/impressionism,1621.180908203125,1825.620849609375,1984.2506103515625
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000030/style/vladimir_borovikovsky,1860.50830078125,1749.1978759765625,1730.32958984375
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000030/style/pencil_drawing,1272.5599365234375,1484.0045166015625,1677.5211181640625
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000030/style/ghibi,1308.9990234375,1105.8809814453125,927.071533203125
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000030/style/felix_vallotton_stroke,1166.4332275390625,1360.0692138671875,1052.186279296875
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000030/style/ghibi_alter,897.5047607421875,362.6246337890625,338.7549133300781
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000030/style/ukiyo_e,1221.924560546875,859.5169677734375,790.8129272460938
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000030/style/impressionism,1194.45166015625,810.0136108398438,1001.2901611328125
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000030/style/vladimir_borovikovsky,1481.8209228515625,727.2227783203125,1166.5931396484375
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000030/style/pencil_drawing,1095.3468017578125,642.258544921875,558.7637939453125
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000030/style/ghibi,1892.508544921875,1310.970458984375,1242.33447265625
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b/style/felix_vallotton_stroke,1027.7056884765625,1604.05419921875,1038.8280029296875
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b/style/ghibi_alter,371.14276123046875,270.0540466308594,227.82406616210938
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b/style/ukiyo_e,920.2787475585938,772.5725708007812,1006.8787231445312
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b/style/impressionism,480.7559814453125,442.978515625,501.00811767578125
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b/style/vladimir_borovikovsky,644.45263671875,608.0762939453125,843.8426513671875
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b/style/pencil_drawing,221.13525390625,231.05499267578125,223.47891235351562
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b/style/ghibi,1009.0416259765625,933.3353881835938,1038.0594482421875
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000010/style/felix_vallotton_stroke,1329.6065673828125,2069.25830078125,1359.442626953125
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000010/style/ghibi_alter,1270.307373046875,580.4906005859375,274.53875732421875
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000010/style/ukiyo_e,1885.1708984375,1605.7525634765625,2546.14111328125
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000010/style/impressionism,541.0777587890625,530.697509765625,494.42852783203125
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000010/style/vladimir_borovikovsky,774.2230224609375,498.1327819824219,765.62255859375
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000010/style/pencil_drawing,467.46307373046875,437.6491394042969,491.91302490234375
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000010/style/ghibi,1267.544189453125,1165.9996337890625,949.0556640625
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000010/style/felix_vallotton_stroke,1410.20361328125,1232.2080078125,1321.8876953125
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000010/style/ghibi_alter,734.649658203125,305.59674072265625,315.9517822265625
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000010/style/ukiyo_e,2342.077392578125,1379.2584228515625,1649.062255859375
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000010/style/impressionism,928.2748413085938,601.6732788085938,829.849365234375
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000010/style/vladimir_borovikovsky,947.872802734375,597.05517578125,537.0836181640625
