Folder,Count,Vendi (vgg19-gram),Dissimilarity (vgg19-gram),Std (vgg19-gram),Vendi (convnextv2-l),Dissimilarity (convnextv2-l),Std (convnextv2-l),Vendi (dinov2-l-fb),Dissimilarity (dinov2-l-fb),Std (dinov2-l-fb),Vendi (clip-L-14),Dissimilarity (clip-L-14),Std (clip-L-14),Vendi (vgg19-gram-resize),Dissimilarity (vgg19-gram-resize),Std (vgg19-gram-resize),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize)
New_Realism/edward-hopper,117,4.756616115570068,0.26812744140625,2463888.75,27.77754783630371,0.7238713502883911,23.095335006713867,47.17446899414063,0.8078045845031738,40.76247787475586,11.659282684326172,0.4437581300735473,13.74709701538086,4.370243549346924,0.2517779469490051,2961122.0,25.8563289642334,0.7103869915008545,22.661483764648438,46.22555923461914,0.8016045689582825,40.54425811767578,11.645025253295898,0.44412297010421753,13.6875
New_Realism/edward-hopper,100,4.63205623626709,0.2659933567047119,2493575.5,25.918148040771484,0.7177878618240356,23.023775100708008,42.71462631225586,0.8035255074501038,40.67938995361328,11.014852523803713,0.4417848587036133,13.717769622802734,4.412312030792236,0.2575737237930298,2987588.25,24.67728614807129,0.7138721346855164,22.58154296875,42.213260650634766,0.7997493147850037,40.47929382324219,11.112186431884766,0.44283944368362427,13.6953125
New_Realism/john-french-sloan,102,4.352229118347168,0.2561089992523193,2452294.75,25.78044319152832,0.7193320989608765,22.77978706359864,37.14214324951172,0.7605205774307251,39.67897033691406,13.299588203430176,0.4781296849250793,14.169422149658203,4.048608779907227,0.2409368157386779,2976688.0,25.335996627807617,0.7140681743621826,22.495512008666992,36.42890930175781,0.7565525770187378,39.54621887207031,14.048530578613281,0.48795896768569946,14.1875
New_Realism/john-french-sloan,100,4.345992088317871,0.2560915350914001,2456725.75,25.29738426208496,0.7177860736846924,22.717754364013672,36.66682815551758,0.759245753288269,39.65023422241211,13.284208297729492,0.479326069355011,14.184762954711914,4.031116485595703,0.2404040098190307,2981033.25,24.959871292114258,0.7128099203109741,22.5416202545166,36.35286331176758,0.7565330266952515,39.53658676147461,14.010249137878418,0.4877315163612366,14.1875
New_Realism,314,5.671394348144531,0.2814107537269592,2477862.75,40.76792907714844,0.7391437292098999,23.575925827026367,75.01001739501953,0.793127715587616,40.285736083984375,18.5544548034668,0.4891810417175293,14.32272243499756,5.196200847625732,0.2655264139175415,3043932.75,39.102291107177734,0.7295933961868286,23.20965576171875,73.90074920654297,0.7900683879852295,40.17039489746094,19.77992057800293,0.5011205077171326,14.3984375
New_Realism,100,4.737100601196289,0.2714105248451233,2382748.0,28.407928466796875,0.7346826195716858,23.7872371673584,38.59495162963867,0.7620879411697388,39.54286193847656,13.582139015197754,0.4775235056877136,14.20807933807373,4.446363925933838,0.2547395229339599,2787732.0,26.999099731445312,0.7133140563964844,23.366086959838867,43.947391510009766,0.7930096387863159,40.31886291503906,15.113017082214355,0.5032491683959961,14.5
Contemporary_Realism/neil-welliver,67,3.884284496307373,0.2550740838050842,3176697.75,17.281492233276367,0.6367716789245605,22.71310043334961,27.443988800048828,0.7618001103401184,40.14745330810547,7.7586846351623535,0.3953614234924316,13.065378189086914,3.827340602874756,0.2506011128425598,3331203.75,17.02766990661621,0.6343539357185364,22.635929107666016,27.045724868774414,0.75743168592453,39.97384262084961,7.959575176239014,0.40051519870758057,13.1328125
Contemporary_Realism/eric-fischl,74,3.1825144290924072,0.1902769804000854,2861504.5,24.769264221191406,0.7191430926322937,23.694292068481445,27.99077796936035,0.7155688405036926,37.8431282043457,8.162336349487305,0.3805771470069885,12.583247184753418,3.057603359222412,0.1855689287185669,3574506.75,24.668228149414062,0.7267664670944214,24.06269645690918,26.755964279174805,0.7052521705627441,37.347660064697266,7.962289333343506,0.3755360245704651,12.578125
Contemporary_Realism/john-miller,77,4.9011945724487305,0.3537538647651672,1373380.25,9.50515365600586,0.5141527056694031,20.828067779541016,18.517751693725582,0.6551303863525391,36.33399963378906,6.13834810256958,0.3386173248291015,12.446295738220217,4.774248123168945,0.3535186648368835,1712582.625,10.136218070983887,0.5429887771606445,21.940153121948242,17.994930267333984,0.6405138969421387,35.984439849853516,6.3673930168151855,0.3464817404747009,12.5859375
Contemporary_Realism/jamie-wyeth,106,5.012683391571045,0.2761794328689575,2288650.25,36.472412109375,0.7848265171051025,23.686906814575195,60.8265266418457,0.8730388879776001,42.5656852722168,13.732526779174805,0.4746764302253723,14.25169849395752,4.582190990447998,0.2592606544494629,2749254.75,37.26579666137695,0.7895392775535583,23.520206451416016,61.16927719116211,0.8710227012634277,42.42826843261719,13.616689682006836,0.47196823358535767,14.1796875
