Folder,Text Similarity (in),Text Similarity (out),Image Similarity (clip-L-14) (in-crop),Image Similarity (clip-L-14) (out-crop),Image Similarity (clip-L-14) (in-padding),Image Similarity (clip-L-14) (out-padding),Image Similarity (convnextv2-l) (in-crop),Image Similarity (convnextv2-l) (out-crop),Image Similarity (convnextv2-l) (in-padding),Image Similarity (convnextv2-l) (out-padding),Image Similarity (dinov2-l-fb) (in-crop),Image Similarity (dinov2-l-fb) (out-crop),Image Similarity (dinov2-l-fb) (in-padding),Image Similarity (dinov2-l-fb) (out-padding),vendi (clip-L-14) (in),vendi (clip-L-14) (out),vendi (dinov2-l-fb) (in),vendi (dinov2-l-fb) (out),vendi (convnextv2-l) (in),vendi (convnextv2-l) (out)
exp-1101-sd15-nt-a,0.22894006680874598,0.25501399471173203,0.6636165978038121,0.5554429942274851,0.6598478270712353,0.553219491016297,0.5946471904667595,0.45072465670487233,0.5914023332463371,0.4505195869292532,0.5551538571147691,0.36535474509237303,0.556242416614578,0.3678181228159912,3.7883509323710483,1.9707494233903433,8.183229442551022,2.913761412794628,5.939924460630568,2.3723230193910143
exp-1101-sd15-nt-a-000010,0.22473665535449983,0.2631919676491192,0.670237909186454,0.5405478946793647,0.6638984170981815,0.5366495151888756,0.60246962643805,0.4303154364795912,0.5971293816963832,0.4287748278748421,0.5639772039509955,0.34277668475395157,0.5631242152338937,0.34331907642029574,3.8561902684257143,2.057198515733083,8.231465166636877,2.9896950788724994,5.914376815954844,2.4804114416667393
exp-1101-sd15-nt-a-000010/anime,0.27117602825164794,0.29584713180859884,0.7105653405189514,0.6448393901189168,0.7006816426912944,0.6349053422609965,0.5700647910435994,0.4513790587584178,0.5623423218727112,0.4429592649141947,0.5565274715423584,0.3858445088068644,0.5506052255630494,0.37867399454116824,3.0496630668640137,1.8576563835144042,8.186850452423098,3.0888179620107015,6.35273323059082,2.69320658047994
exp-1101-sd15-nt-a-000010/anime/abukuma,0.2772691249847412,0.29110124707221985,0.7399552663167318,0.6891994476318359,0.727017343044281,0.6744115153948466,0.6030725836753845,0.5189254581928253,0.5927069981892904,0.5064665476481119,0.5943228304386139,0.4495820899804433,0.5838509102662405,0.4368205964565277,2.750626564025879,1.7024112145105998,7.412668387095134,2.7565790812174478,6.196101824442546,2.311861594518026
exp-1101-sd15-nt-a-000010/anime/ikamusume,0.25164571404457087,0.25870169202486676,0.7364539305369059,0.6919467250506083,0.7270841201146444,0.6780514518419901,0.5977882544199625,0.4895044167836507,0.5903940598169962,0.47959981362024945,0.5627081990242004,0.43447911739349365,0.5603960553805033,0.4296730160713196,3.2232680320739746,1.9089580376942952,8.909788926442465,3.176806926727295,6.7765482266743975,2.955402692159017
exp-1101-sd15-nt-a-000010/people,0.23938702642917634,0.274292150636514,0.6278165727853775,0.5043919210632642,0.6146629452705383,0.4944013074040413,0.5662740210692088,0.38654975444078443,0.5506788283586502,0.3813426002860069,0.5266407067577044,0.3159561785558859,0.5242252399524053,0.320403787245353,4.5387411634127295,2.52468759616216,8.542366830507914,3.329099122683208,5.988416878382365,3.027674369017283
exp-1101-sd15-nt-a-000010/people/Admiral_Piett,0.21821819245815272,0.22126798331737513,0.61276575922966,0.4956914186477661,0.6043547093868256,0.48884856700897217,0.5822351276874542,0.40034881234169006,0.5701640546321869,0.3897744417190552,0.56143718957901,0.3554780036211014,0.5511125773191452,0.35500839352607727,5.549921274185181,2.9635623693466187,6.181569218635559,3.3914239406585693,6.025277614593506,3.378840684890747
exp-1101-sd15-nt-a-000010/people/Bodhi_Rook,0.23411694169044495,0.2724445263544718,0.56112140417099,0.43419356147448224,0.5456368327140808,0.4218951165676117,0.5236069162686666,0.3068696558475494,0.48794543743133545,0.28583215177059174,0.47939934333165485,0.25276657690604526,0.46998895208040875,0.25199003765980393,5.829545338948567,2.4388102690378823,11.538196881612143,2.9821821053822837,7.01801331837972,2.814465602238973
exp-1101-sd15-nt-a-000010/people/Rose_Tico,0.2486332580447197,0.2696988433599472,0.5990257859230042,0.49806787073612213,0.5876588821411133,0.49099825322628016,0.4551365077495575,0.3234226703643799,0.43604719638824463,0.32284747064113617,0.3404014259576797,0.21242252737283704,0.3357526659965515,0.21649076789617533,5.374057054519653,2.708438992500305,15.729609966278076,3.9757555723190308,9.507835388183594,3.323164701461792
exp-1101-sd15-nt-a-000010/people/Saw_Gerrera,0.2734759673476219,0.3192765489220619,0.6653374880552292,0.49452243000268936,0.6543861925601959,0.4921398386359215,0.607105940580368,0.3722701445221901,0.6037657707929611,0.3778628334403038,0.5661325380206108,0.24681174382567406,0.5746770203113556,0.25320831313729286,3.2192055583000183,2.363581359386444,6.044959306716919,3.28136944770813,4.332212209701538,2.9816156029701233
exp-1101-sd15-nt-a-000010/scene,0.1725158408284187,0.2244642704725265,0.7739809632301331,0.5058147847652436,0.7729919075965881,0.5095473527908325,0.8181262731552124,0.45504091382026673,0.8262859582901001,0.46516063809394836,0.7514763474464417,0.3525244742631912,0.7535643458366394,0.3548417896032333,2.410286855697632,2.115588927268982,3.6221487522125244,3.0935195446014405,2.3306199312210083,2.3050193071365355
exp-1101-sd15-nt-a-000010/stuffed_toy,0.2843168601393699,0.3273934026559194,0.7632576127847036,0.6591928700606028,0.7619047065575918,0.6578898429870605,0.7037400702635447,0.6375929216543833,0.6880685289700826,0.6185887306928635,0.6323028802871704,0.47372666001319885,0.6319406777620316,0.4733416885137558,2.7323514819145203,1.8103787501653035,6.0867042144139605,2.423732419808706,3.874878386656443,1.8706666827201843
exp-1101-sd15-nt-a-000010/style,0.15628752112388605,0.19396288267203737,0.47556905661310467,0.3885005073887961,0.46925088337489534,0.38650373050144743,0.3541429766586849,0.22101453372410365,0.3582712709903717,0.23582290538719722,0.3529386137213026,0.1858316021306174,0.3552855870553425,0.1893341221979686,6.549908774239676,1.9776809215545654,14.719255583626884,3.01330634525844,11.025235652923584,2.5054902689797536
exp-1101-sd15-nt-a-000030,0.23059193702680716,0.2573711442237809,0.6704513028973625,0.5666248073464348,0.6671480181103661,0.5643815976239386,0.6008568368923097,0.46290972757907145,0.5972847868998846,0.46183597685325706,0.5626413725955146,0.37937938670317334,0.5643078491801308,0.3820624195677893,3.6988486249106267,1.9370780440739224,7.934960037640162,2.8476612359001527,5.934694985094525,2.3253475448063443
exp-1101-sd15-nt-a-000030/anime,0.2694334914286931,0.29207165241241456,0.7222968022028605,0.6589639067649842,0.712473221619924,0.6487966696421305,0.5786853194236755,0.46849902470906574,0.5696245392163595,0.4578992148240407,0.5682280262311299,0.41071526408195497,0.5630142033100128,0.4045208354791005,2.8414449373881023,1.772772240638733,7.690973949432373,3.00319463411967,6.2359872182210285,2.575769646962484
exp-1101-sd15-nt-a-000030/anime/abukuma,0.27199071645736694,0.27890023589134216,0.7513153553009033,0.7084880471229553,0.7376323541005453,0.6940521995226542,0.6169447501500448,0.5286022126674652,0.6011470556259155,0.5101583500703176,0.6148628294467926,0.47931058208147687,0.6060940225919088,0.46649115284283954,2.47182830174764,1.6065897544225056,6.2743000984191895,2.614465951919556,5.648947715759277,2.2060372829437256
