Folder,FD (convnextv2-l),FD (clip-L-14),FD (convnextv2-l-padding),FD (clip-L-14-padding),FD (dinov2-l-fb-padding),FD (dinov2-l-fb),FD (dinov2-l-padding),FD (dinov2-l)
exp-1101-sd15-nt-b-000010,86.62625977404127,90.03127145256747,98.63253044443012,97.0378194170708,382.478771206916,374.0874504529861,,
exp-1101-sd15-nt-c,108.59515096181347,103.54748533038048,116.29345414959198,107.2520711460882,429.43466428503416,430.20513517168456,,
exp-1102-sd15-nt-Prodigy-a-000010,103.61550835010188,99.66204603098151,110.9503518672234,104.02562091531723,387.9210011142986,384.9904841493817,,
exp-1102-sd15-nt-Prodigy-c,62.06624546169928,74.475352276526,74.52222152064155,80.44521803666271,242.23432364063137,236.82650247029733,,
exp-1102-sd15-nt-Prodigy-a-000030,70.45439805458159,80.19455760137782,83.23638286876121,85.83363471642735,274.6781149859112,271.1747895271633,,
exp-1102-sd15-nt-Prodigy-b-000010,86.54524927240368,92.0911153369758,102.37683470528668,97.60250850512358,361.5650066808216,353.0630207385084,,
exp-1102-sd15-nt-Prodigy-a,57.84344075768149,73.32923149655664,70.89991812343123,79.06555862184518,233.08503954938897,226.79429675862912,,
exp-1101-sd15-nt-a,106.63215970968464,102.02886903967686,112.79484943312424,106.11075459982924,426.9804030862092,427.7592374328456,,
exp-1101-sd15-nt-b-000030,84.25621724967232,88.20643547641555,94.24432549634412,93.2197954081459,352.5651320347433,350.7116762118362,,
exp-1101-sd15-nt-a-000030,84.8545068591909,88.50700503239352,92.8619868496528,93.47665974977065,348.21769298066783,347.39178141395723,,
exp-1102-sd15-nt-Prodigy-b-000030,71.9945281457749,81.08679735750002,84.40946531161535,86.29598192208266,283.0463386923234,279.25542928917866,,
exp-1101-sd15-nt-b,108.20232945362407,103.2408089199012,114.7652477071888,107.00969883231473,424.4339254444767,424.0091747197921,,
exp-1102-sd15-nt-Prodigy-b,59.87575448586972,73.28027920237446,72.48556825395804,79.07628300644251,232.5802233234536,228.8343386659604,,
exp-1101-sd15-nt-a-000010,89.54391576852163,89.59487902312344,99.86841507705616,96.54432084292272,388.3547518523201,376.3274449155683,,
