iter	RMSE
0	0.2236463404
1	0.2173455385
2	0.2087663644
3	0.2034333032
4	0.1970530543
5	0.1923363051
6	0.1869525691
7	0.1822961026
8	0.178268769
9	0.1726671434
10	0.1689945071
11	0.1647216039
12	0.1612597895
13	0.158735407
14	0.1572335963
15	0.1540128369
16	0.1507307047
17	0.148177788
18	0.1454891773
19	0.1429024866
20	0.1415628124
21	0.1404596045
22	0.1393145562
23	0.1371029811
24	0.1354266944
25	0.1335464255
26	0.1322037623
27	0.1319047999
28	0.131059224
29	0.1309400606
30	0.1296313768
31	0.1287634426
32	0.1274927362
33	0.127136565
34	0.126333878
35	0.1249343759
36	0.1238679818
37	0.1228011128
38	0.1225944014
39	0.1219254336
40	0.1212151785
41	0.1200002742
42	0.1194410373
43	0.1186453661
44	0.1180179244
45	0.1171511679
46	0.1161266004
47	0.1154417777
48	0.1150989555
49	0.1141092003
50	0.1140732737
51	0.1137447211
52	0.1132356846
53	0.1126131791
54	0.1118403506
55	0.1108273963
56	0.1100935756
57	0.1095392622
58	0.1090568146
59	0.1085866183
60	0.1083364709
61	0.1080625713
62	0.1073171654
63	0.1069290975
64	0.1066306959
65	0.1060763453
66	0.1056344926
67	0.1054866416
68	0.1049274217
69	0.1044321914
70	0.103818002
71	0.1031775903
72	0.1026699253
73	0.1023429662
74	0.1015724162
75	0.1014030637
76	0.1013309473
77	0.09982344065
78	0.0995951635
79	0.09917870465
80	0.09892292681
81	0.09849902045
82	0.09827948069
83	0.09787006842
84	0.09760979879
85	0.09702917257
86	0.09683656463
87	0.09649637211
88	0.09603233939
89	0.09549250407
90	0.09539691249
91	0.09501201103
92	0.09471286451
93	0.09456459503
94	0.09421978782
95	0.09334926578
96	0.09314896958
97	0.0927506006
98	0.09264928019
99	0.09229132069
100	0.09219177641
101	0.09162615054
102	0.09143896164
103	0.09056236923
104	0.09041203788
105	0.08988185079
106	0.08945589143
107	0.08907389732
108	0.08902145933
109	0.0886731635
110	0.08833448598
111	0.08797931155
112	0.08792381419
113	0.08783382337
114	0.08764573481
115	0.08720711442
116	0.08707849796
117	0.08702042913
118	0.08669713849
119	0.08645692556
120	0.08633548623
121	0.08618189013
122	0.08605913792
123	0.08593038991
124	0.0856602505
125	0.08546487489
126	0.08522530726
127	0.08504323534
128	0.08487931802
129	0.0846785896
130	0.08448363346
131	0.08404983224
132	0.08386702267
133	0.08382185593
134	0.08354931005
135	0.08317586408
136	0.08263640419
137	0.08247211351
138	0.08199139147
139	0.08154222665
140	0.08137090883
141	0.08100282991
142	0.08083667723
143	0.08073279558
144	0.08064073266
145	0.08054569278
146	0.07992370059
147	0.07966579268
148	0.07949753598
149	0.07945964771
150	0.07921042357
151	0.07907080593
152	0.07884231678
153	0.07844046778
154	0.07816324533
155	0.07768761767
156	0.07754535907
157	0.07745592469
158	0.07715417634
159	0.07673933236
160	0.07658079199
161	0.07654716369
162	0.07636599987
163	0.07617900098
164	0.07592459196
165	0.0757523619
166	0.07563420754
167	0.07558317013
168	0.07546797981
169	0.07529950734
170	0.07515120244
171	0.07508085327
172	0.07493579491
173	0.07475179443
174	0.07456094679
175	0.07440182436
176	0.07417644627
177	0.0740123553
178	0.0737183851
179	0.07358832607
180	0.07331629774
181	0.0730171615
182	0.07285561046
183	0.07260202149
184	0.07238183605
185	0.07223306543
186	0.07201116451
187	0.07172521989
188	0.07160603909
189	0.07156821916
190	0.07132579397
191	0.07104589888
192	0.070915295
193	0.07078319441
194	0.07047724277
195	0.07017895815
196	0.07006194548
197	0.06994062263
198	0.06982700492
199	0.06974700227
200	0.0695035538
201	0.06931671883
202	0.06926961678
203	0.06914648095
204	0.06877901053
205	0.068666248
206	0.06849193156
207	0.06839033711
208	0.068294023
209	0.06816019169
210	0.0678982408
211	0.06779769012
212	0.06773395237
213	0.06764882381
214	0.067505898
215	0.06743127101
216	0.0672350033
217	0.06703626795
218	0.06691876592
219	0.06673574138
220	0.06646889029
221	0.06636719887
222	0.06625414396
223	0.06611438474
224	0.06598420679
225	0.06579649624
226	0.06568011908
227	0.06555913561
228	0.06541866099
229	0.06535300039
230	0.0651997673
231	0.06511040821
232	0.06495038618
233	0.06488739596
234	0.06461631999
235	0.06438387469
236	0.06434786232
237	0.06426419997
238	0.06404352789
239	0.06395381259
240	0.06381695207
241	0.0637822255
242	0.06363533083
243	0.06346964199
244	0.0633943835
245	0.06331543583
246	0.06324410416
247	0.06308297473
248	0.06297283568
249	0.06292771469
250	0.06277781181
251	0.06275402347
252	0.06266228148
253	0.06254928289
254	0.06254340268
255	0.06237819942
256	0.06227143368
257	0.06223218687
258	0.06204517772
259	0.06201490452
260	0.0619773279
261	0.06196216722
262	0.06193548447
263	0.06189222539
264	0.06185035714
265	0.06174019852
266	0.06156784826
267	0.06150329177
268	0.06138743557
269	0.06134359538
270	0.06109403128
271	0.06105141558
272	0.06096189677
273	0.06087489671
274	0.06078090668
275	0.06070152612
276	0.06058968987
277	0.0605719771
278	0.06043379754
279	0.06036885339
280	0.06034238914
281	0.06021447255
282	0.05976854832
283	0.0597424566
284	0.05971071077
285	0.05964334972
286	0.05956545981
287	0.05948674129
288	0.05937840649
289	0.05925395352
290	0.05923290757
291	0.05912166302
292	0.05907562217
293	0.05887897595
294	0.05878121404
295	0.05877224383
296	0.05868235724
297	0.05867015787
298	0.05860118631
299	0.0585632868
