Folder,Artifact-padding,Liqe-resize,Maniqa-resize
exp-1101-sd15-nt-b-000010/anime/kotomine_kirei/out_dist_prompts,3.19921875,3.068427,0.4847587943077087
exp-1101-sd15-nt-b-000010/anime/kotomine_kirei/out_dist_prompts_tags,3.109375,3.112038,0.4929727911949157
exp-1101-sd15-nt-b-000010/anime/ikamusume/dca outfit/in_dist_prompts,2.9921875,2.8429034,0.4440230429172516
exp-1101-sd15-nt-b-000010/anime/ikamusume/dca outfit/out_dist_prompts,3.052734375,2.8517272,0.456472635269165
exp-1101-sd15-nt-b-000010/anime/ikamusume/dca outfit/out_dist_prompts_tags,3.130859375,2.9190338,0.4608308672904968
exp-1101-sd15-nt-b-000010/anime/ikamusume/none/in_dist_prompts,3.146484375,2.9420054,0.4660155773162842
exp-1101-sd15-nt-b-000010/anime/ikamusume/none/out_dist_prompts,3.19921875,2.8422854,0.4422328472137451
exp-1101-sd15-nt-b-000010/anime/ikamusume/none/out_dist_prompts_tags,3.13671875,2.9447029,0.4820493757724762
exp-1101-sd15-nt-b-000010/anime/ikamusume/wafc outfit/in_dist_prompts,3.21484375,2.8857484,0.4646089076995849
exp-1101-sd15-nt-b-000010/anime/ikamusume/wafc outfit/out_dist_prompts,3.203125,2.8580065,0.4637020528316498
exp-1101-sd15-nt-b-000010/anime/ikamusume/wafc outfit/out_dist_prompts_tags,3.201171875,2.9231484,0.479516327381134
exp-1101-sd15-nt-b-000010/people/K-2SO/in_dist_prompts,1.9970703125,3.022631,0.6039668917655945
exp-1101-sd15-nt-b-000010/people/K-2SO/out_dist_prompts,2.341796875,3.0395684,0.5885032415390015
exp-1101-sd15-nt-b-000010/people/Bodhi_Rook/illustration/in_dist_prompts,2.287109375,3.0644174,0.6378157138824463
exp-1101-sd15-nt-b-000010/people/Bodhi_Rook/illustration/out_dist_prompts,2.63671875,2.8832111,0.6010575890541077
exp-1101-sd15-nt-b-000010/people/Bodhi_Rook/realistic/in_dist_prompts,2.62109375,3.0562494,0.5237739682197571
exp-1101-sd15-nt-b-000010/people/Bodhi_Rook/realistic/out_dist_prompts,2.84765625,2.9967382,0.5385324954986572
exp-1101-sd15-nt-b-000010/people/Bodhi_Rook/figurine/in_dist_prompts,2.607421875,2.7986658,0.6162338852882385
exp-1101-sd15-nt-b-000010/people/Bodhi_Rook/figurine/out_dist_prompts,2.6640625,2.866199,0.6053547859191895
exp-1101-sd15-nt-b-000010/people/Rose_Tico/illustration/in_dist_prompts,2.70703125,3.081689,0.6105868816375732
exp-1101-sd15-nt-b-000010/people/Rose_Tico/illustration/out_dist_prompts,2.837890625,3.0141015,0.6408407688140869
exp-1101-sd15-nt-b-000010/people/Rose_Tico/realistic/in_dist_prompts,2.70703125,3.132212,0.513190746307373
exp-1101-sd15-nt-b-000010/people/Rose_Tico/realistic/out_dist_prompts,3.041015625,3.076764,0.5745998620986938
"exp-1101-sd15-nt-b-000010/people/Saw_Gerrera/bald, realistic/in_dist_prompts",1.7119140625,2.9695916,0.5124754905700684
"exp-1101-sd15-nt-b-000010/people/Saw_Gerrera/bald, realistic/out_dist_prompts",2.533203125,2.9614174,0.5476958155632019
"exp-1101-sd15-nt-b-000010/people/Saw_Gerrera/afro, realistic/in_dist_prompts",1.751953125,3.2550514,0.6452957987785339
"exp-1101-sd15-nt-b-000010/people/Saw_Gerrera/afro, realistic/out_dist_prompts",2.271484375,3.1725156,0.6180784702301025
"exp-1101-sd15-nt-b-000010/people/Saw_Gerrera/bald, 3d/in_dist_prompts",2.244140625,2.7968888,0.5725817084312439
"exp-1101-sd15-nt-b-000010/people/Saw_Gerrera/bald, 3d/out_dist_prompts",2.8828125,2.7840884,0.5229668617248535
